Model,# Différentes,# Features,# Similaires (p > 0.05),CB Diff (%),Diversity Gap (%),Feature,Jensen-Shannon Divergence,KS P-value,KS Statistic,Mean (synth),PD (%),TSTR MLP Accuracy,TSTR MLP F1-score,TSTR RF Accuracy,TSTR RF F1-score,Variance (synth),Vendi Gap (%),Vendi Score (real),Vendi Score (synth),Wasserstein Distance
cluster_vae_df_e20_k40_eps_0pt5,66.0,78.0,12.0,0.0001908784338427,-51.41085329856084,GLOBAL,0.0163334352069831,0.1538461536346148,0.1468463065846076,701495.1596876169,84.61538461538461,0.8956779114600707,0.8935891405854841,0.9823448217331496,0.9754555719349648,59459491703051.305,9.2537803619297,2736.290838343157,2989.5011825870374,724284.0891467839
cluster_vae_df_e20_k40_eps_1pt0,66.0,78.0,12.0,0.0001908784338427,8.365394936548883,GLOBAL,0.0071750473103277,0.1434315372289835,0.1153995552200018,1331014.811166308,84.61538461538461,0.9175046530789296,0.908781018332924,0.9828505014952326,0.9759490985834304,94598783064079.28,9.006906104529538,2736.290838343157,2982.745984899569,107377.09543614
cluster_vae_df_e20_k40_eps_1pt25,66.0,78.0,12.0,0.0001908784338427,39.30353419443776,GLOBAL,0.0064464866426596,0.1445776712738191,0.1215154489334978,1534686.71650267,84.61538461538461,0.9014537409104356,0.8901710415247774,0.9830956795616972,0.9761895185127136,102397116231674.14,8.804147977138603,2736.290838343157,2977.1979328357747,202480.9384900362
cluster_vae_df_e20_k40_eps_1pt5,66.0,78.0,12.0,0.0001908784338427,76.78447823611644,GLOBAL,0.0066542569557986,0.1509354200670286,0.1293636119228721,1680160.3471871205,84.61538461538461,0.9182955880914184,0.911333278258549,0.9830308488229684,0.9761256849396992,107996197820378.77,8.628757379290256,2736.290838343157,2972.398735975535,353648.68696402205
cluster_vae_df_e20_k40_eps_1pt75,66.0,78.0,12.0,0.0001908784338427,120.39905171039122,GLOBAL,0.0073347277546106,0.1528329389976004,0.1369941212436677,1783986.4196691369,84.61538461538461,0.9132670802474884,0.9025192684813422,0.9830544236370516,0.9761524844338648,112108280672437.72,8.98101907581941,2736.290838343157,2982.0376405046545,464780.7767312997
cluster_vae_df_e20_k40_eps_2pt0,66.0,78.0,12.0,0.0001908784338427,170.58597113838542,GLOBAL,0.0082055046214157,0.1519485285221556,0.143750249438213,1860175.423157581,84.61538461538461,0.8804332579332196,0.8625418702205534,0.9830167039345186,0.9761150948922316,115960409579615.12,9.083934338739388,2736.290838343157,2984.8537014151907,545756.2446699751
cluster_vae_df_e20_k40_eps_2pt5,66.0,78.0,12.0,0.0001908784338427,274.64247494935523,GLOBAL,0.0100848257224887,0.1473535955522942,0.1545998068445472,1959486.1271246087,84.61538461538461,0.8539941039389978,0.7894847014583873,0.9832276985205626,0.976320619547166,124072614508856.52,9.41307244276451,2736.290838343157,2993.8598772011264,651227.6923903323
cluster_vae_df_e20_k40_eps_3,66.0,78.0,12.0,0.0001908784338427,380.66086126449534,GLOBAL,0.0119001532748343,0.1420889316417164,0.1644593580606843,2018347.7916842853,84.61538461538461,0.8522790362144507,0.7878865412973589,0.9830791771918388,0.976172110210372,133481704083238.84,9.342400037611318,2736.290838343157,2991.926074653683,714350.8155491737
cluster_vae_df_e20_k40_eps_5,66.0,78.0,12.0,0.0001908784338427,630.2503709801526,GLOBAL,0.0163572352692276,0.1519507853749548,0.1890458529539544,2100136.9380464414,84.61538461538461,0.8462721735860711,0.7821249925579247,0.9826147533544014,0.9757733431676232,179202280550672.3,9.555963095693471,2736.290838343157,2997.7697810460704,818309.4756574486
cluster_vae_df_e20_k60_eps_0pt5,66.0,78.0,12.0,0.0001908784338427,-60.63806248855421,GLOBAL,0.0152302400363218,0.1538461538461508,0.1608895407311504,970297.433580126,84.61538461538461,0.901379480246074,0.8963409282691308,0.9819169388575408,0.9750770779327688,63977047147735.945,9.53425231066953,2736.290838343157,2997.175710824528,466679.58789183066
