Model,# Différentes,# Features,# Similaires (p > 0.05),CB Diff (%),Diversity Gap (%),Feature,Jensen-Shannon Divergence,KS P-value,KS Statistic,Mean (synth),PD (%),TSTR MLP Accuracy,TSTR MLP F1-score,TSTR RF Accuracy,TSTR RF F1-score,Variance (synth),Vendi Gap (%),Vendi Score (real),Vendi Score (synth),Wasserstein Distance
cluster_vae_df_eps_0pt5,29.0,41.0,12.0,0.0009645222348291,-84.1513200790808,GLOBAL,0.0588397404094427,0.2663696586271648,0.1820689166949649,123.69290336374168,70.73170731707317,0.9069485591166172,0.9165403505605516,0.9103599964090132,0.9124773623388552,28658484.319786053,-58.736204970202536,37.54659109467933,15.49314838998467,1406.0791805442875
cluster_vae_df_eps_1,29.0,41.0,12.0,0.0009645222348291,-48.91516910103463,GLOBAL,0.0373026071067622,0.2847907625696951,0.1474541307394486,184.6849582544844,70.73170731707317,0.9671424723942904,0.9667452468044744,0.9863318071640184,0.9853203374920568,232317688.61520156,-43.06981975139338,37.54659109467933,21.375341987408223,1289.2402638557028
cluster_vae_df_eps_1pt25,26.0,41.0,15.0,0.0009645222348291,4.914274768898805,GLOBAL,0.0352537034438489,0.3224764443156211,0.1410496524982511,212.75210480631847,63.41463414634146,0.9712721070114014,0.970332327271586,0.990506329113924,0.9898130120046146,357624746.4172168,-32.87377303619374,37.54659109467933,25.20360995538672,1251.4255611091644
cluster_vae_df_eps_1pt5,26.0,41.0,15.0,0.0009645222348291,42.685979090025725,GLOBAL,0.0334169779276219,0.3623499768206986,0.1391566239860067,238.6967309703336,63.41463414634146,0.9636637041027022,0.9625904986175288,0.9923018224257114,0.9918434812161444,502343465.9415819,-25.812371368418948,37.54659109467933,27.854925565138984,1221.9325011457552
cluster_vae_df_eps_1pt75,26.0,41.0,15.0,0.0009645222348291,56.40801527966258,GLOBAL,0.0291915526752268,0.3187575545764569,0.140289028478383,249.2055259096847,63.41463414634146,0.9720351916689112,0.9678618000889332,0.9916509561001884,0.9912485841969262,576774002.2741493,-21.328101034901888,37.54659109467933,29.538616210844648,1226.8682560423258
cluster_vae_df_eps_2,28.0,41.0,13.0,0.0009645222348291,93.99389456834815,GLOBAL,0.0279087170935022,0.2960580274596925,0.1421457983862409,268.49005993532813,68.29268292682927,0.9691624023700512,0.9675694075730228,0.9917856180985726,0.9913397053065224,685665686.2936183,-17.16608453289874,37.54659109467933,31.101311528144844,1221.0720732160764
cluster_vae_df_eps_2pt5,29.0,41.0,12.0,0.0009645222348291,118.25272298765618,GLOBAL,0.0280787514201511,0.2877801767580664,0.1443018027649799,268.6096536192487,70.73170731707317,0.9642696830954304,0.9626006371306975,0.991224526438639,0.9907918456518978,737137437.9312369,-12.694134320465077,37.54659109467933,32.78037638836496,1226.1616266385065
cluster_vae_df_eps_3,28.0,41.0,13.0,0.0009645222348291,117.88408715257914,GLOBAL,0.0273979741183437,0.2812979679963483,0.1460945064803866,251.2680677095214,68.29268292682927,0.9625639644492324,0.955162191345414,0.9899452374539904,0.9892472526282045,694513021.1828043,-8.495152187865736,37.54659109467933,34.35695103983068,1231.4565743763387
cluster_vae_df_eps_5,30.0,41.0,11.0,0.0009645222348291,54.333238134705866,GLOBAL,0.031751038785246,0.2536538740793009,0.1528106320578405,165.93637808940352,73.17073170731707,0.9268785348774576,0.9195490249091738,0.9792171649160608,0.9771842153702373,454353686.98151016,-10.935739941625354,37.54659109467933,33.44059353561973,1280.179912496568
gmvae_df_eps_0pt5,31.0,41.0,10.0,0.0,-99.80514608972508,GLOBAL,0.1280931671764543,0.2267204299906965,0.3038223266548939,9.001371736662989,75.60975609756098,0.220329473022713,0.2186611378494633,0.2360624831672502,0.2348063179511553,25.650546239362622,-97.05195340833768,37.54659109467933,1.1068909990520854,1422.2976100666071
