Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.3007202710496535,0.0,1784.8009054398515,0.06485234976415531,,,,,,,,,,,,,,,
Flow Duration,0.236183091501866,0.0,8831575.125809165,0.008439349099731323,,,,,,,,,,,,,,,
Total Fwd Packets,0.0887430454206849,0.0,19.236317757405946,0.00013612488730830634,,,,,,,,,,,,,,,
Total Backward Packets,0.07770745477241991,0.0,38.77056249406717,4.697297950919893e-05,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.08402009294289048,0.0,1140.4075022833194,5.434140691976475e-06,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.1315168074145443,0.0,36582.290844284704,7.657513249774627e-09,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.08845340345706998,0.0,73.27647460972157,0.029403451810559457,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.08416470615014282,0.0,5.545062897661634,0.01685429239138499,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.1032781135227146,0.0,12.48850820020833,0.008683337404720593,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.3909752395133369,0.0,19.422396313637464,0.023418761619929233,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.07932215946453525,0.0,239.12923637014228,0.04081748655650005,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.14449596622186156,0.0,15.726776197317784,0.03507378600115284,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.13683115498545922,0.0,70.34380643214583,0.02449635382420479,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.4373953375798294,0.0,59.884152869853104,0.047176887930173356,,,,,,,,,,,,,,,
Flow Bytes/s,0.09172893795971038,0.0,1415725.308254282,1.2003510389854955e-07,,,,,,,,,,,,,,,
Flow Packets/s,0.1555022876880344,0.0,20866.475015886976,0.004529620322299688,,,,,,,,,,,,,,,
Flow IAT Mean,0.10674764253784974,0.0,800719.9991960512,0.003351326173867323,,,,,,,,,,,,,,,
Flow IAT Std,0.18002151518915516,0.0,1688750.2878685978,0.005828662369840356,,,,,,,,,,,,,,,
Flow IAT Max,0.2173996836636755,0.0,3338263.6057863673,0.005820702273621825,,,,,,,,,,,,,,,
Flow IAT Min,0.2081646314965609,0.0,103406.23411893827,1.4616015866695114e-05,,,,,,,,,,,,,,,
Fwd IAT Total,0.19105007262521273,0.0,8862592.925443068,0.007511467922109935,,,,,,,,,,,,,,,
Fwd IAT Mean,0.2071675718710842,0.0,2201527.513065088,0.004329730776385872,,,,,,,,,,,,,,,
Fwd IAT Std,0.3191074140872295,0.0,553136.3896130222,0.006411429915775688,,,,,,,,,,,,,,,
Fwd IAT Max,0.17891143025995804,0.0,3640604.204826042,0.00483176209489373,,,,,,,,,,,,,,,
Fwd IAT Min,0.12879614515479865,0.0,1855198.5118764872,0.00022628075019457845,,,,,,,,,,,,,,,
Bwd IAT Total,0.2092152523537993,0.0,7919368.455681369,0.005691684481110282,,,,,,,,,,,,,,,
Bwd IAT Mean,0.2449851614172912,0.0,2302719.2343192906,0.0033778093894258504,,,,,,,,,,,,,,,
Bwd IAT Std,0.3855612756238323,0.0,287346.028709905,0.003490319053633267,,,,,,,,,,,,,,,
Bwd IAT Max,0.1858145472308726,0.0,2711016.557652833,0.006230793875076503,,,,,,,,,,,,,,,
Bwd IAT Min,0.2690836866621676,0.0,2118804.7508420832,0.0003561537864572297,,,,,,,,,,,,,,,
Fwd PSH Flags,0.01639867518971061,2.0591313476525187e-272,0.01639867518971061,0.0013299871275603357,,,,,,,,,,,,,,,
Bwd PSH Flags,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
