Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.239987151337886,0.0,2888.530497279443,0.065683114496148,,,,,,,,,,,,,,,
Flow Duration,0.19060218347044616,0.0,6054024.812939343,0.007374973741862559,,,,,,,,,,,,,,,
Total Fwd Packets,0.13219531797829967,0.0,23.801205992385608,2.7264667038881177e-05,,,,,,,,,,,,,,,
Total Backward Packets,0.1378221370496026,0.0,35.355548508607384,3.8658943956558686e-05,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.07607293730007801,0.0,789.6460682327555,2.613230497093102e-05,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.12900709921863956,0.0,117330.752858139,7.1498964170519325e-09,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.13727415618809868,0.0,48.77872424945311,0.02423640256323075,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.14570333019794224,0.0,8.9690253910248,0.015218867444391593,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.13212762131897804,0.0,9.226847066284483,0.01113898949874555,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.2975760044489549,0.0,19.101584526826976,0.018159189633822324,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.09767966685950635,0.0,220.52457273714333,0.03409734465314176,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.0954938562251707,0.0,9.621391124734668,0.018264007478206466,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.15450924045395575,0.0,87.72496180844529,0.021641384067332067,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.43535847295706614,0.0,97.76723538438792,0.04752436835429269,,,,,,,,,,,,,,,
Flow Bytes/s,0.12488230535694989,0.0,445062.9299116488,2.7040698395912247e-07,,,,,,,,,,,,,,,
