Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.29398881740423666,0.0,1536.6774968337809,0.06108257813050483,,,,,,,,,,,,,,,
Flow Duration,0.23787946833798682,0.0,2066326.289666229,0.0061479412951771315,,,,,,,,,,,,,,,
Total Fwd Packets,0.053183507810558694,0.0,29.08693125180376,2.5023072169248548e-05,,,,,,,,,,,,,,,
Total Backward Packets,0.051612043961050014,0.0,36.865077436111946,3.0060720935456275e-05,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.12555929179933148,0.0,312.3271082275931,4.2140522605305646e-06,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.14625730166742368,0.0,31293.330694100016,4.2632329900938085e-10,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.11407337845796539,0.0,29.552943558949217,0.02199435830061072,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.04032029766013889,0.0,2.3150925363461496,0.003525391106475759,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.1252405861106693,0.0,9.106705914189355,0.010044971253438973,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.2678292940206829,0.0,16.46507191071674,0.009557176138906715,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.07679366091494794,0.0,81.01848627905639,0.028542620922405854,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.05056122548642972,0.0,7.940527386638307,0.010268364811046033,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.14758278935209385,0.0,17.908272844592506,0.016624843363056228,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.347890999896773,0.0,37.141470538486296,0.04381481692264903,,,,,,,,,,,,,,,
Flow Bytes/s,0.09409649536938347,0.0,278098.9512606154,1.178000050172147e-08,,,,,,,,,,,,,,,
Flow Packets/s,0.1550257563391265,0.0,17196.813735999156,0.007776303380424802,,,,,,,,,,,,,,,
Flow IAT Mean,0.06849934616558939,0.0,375536.3212009346,0.002490942639984873,,,,,,,,,,,,,,,
Flow IAT Std,0.2017500918643273,0.0,523572.54403891886,0.004217324903994943,,,,,,,,,,,,,,,
Flow IAT Max,0.23105405218765085,0.0,772658.0872345569,0.004908562021100061,,,,,,,,,,,,,,,
Flow IAT Min,0.24131116804368136,0.0,22563.820367276225,9.228211716036838e-06,,,,,,,,,,,,,,,
Fwd IAT Total,0.16608635680217948,0.0,1814543.1705146544,0.005094292535853716,,,,,,,,,,,,,,,
Fwd IAT Mean,0.15675719315672365,0.0,1031423.6878751881,0.0030219627225189258,,,,,,,,,,,,,,,
Fwd IAT Std,0.23755149604072007,0.0,707238.0127814595,0.0053124829797277385,,,,,,,,,,,,,,,
Fwd IAT Max,0.12215471990520044,0.0,853037.1809623359,0.003568653029855798,,,,,,,,,,,,,,,
Fwd IAT Min,0.12638676664035015,0.0,986550.6965860309,0.000143868039470598,,,,,,,,,,,,,,,
