Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.32972589010848263,0.0,2925.070874686521,0.06047289367821394,,,,,,,,,,,,,,,
Flow Duration,0.29617613019370587,0.0,3959644.419663912,0.0064894242712894516,,,,,,,,,,,,,,,
Total Fwd Packets,0.07684639863269527,0.0,69.97294007950066,0.00012416584946864018,,,,,,,,,,,,,,,
Total Backward Packets,0.084305542901707,0.0,65.25429581470064,1.8637401984278527e-05,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.10985274658463148,0.0,323.6482845666152,6.552587057260583e-06,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.0925723801741069,0.0,85146.82855887174,3.983432307316869e-09,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.10055793299233823,0.0,32.093856436514656,0.013947561290490487,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.07391168010854432,0.0,3.4408456469734023,0.008327924848422959,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.10631017241800854,0.0,12.324552230325404,0.00563482996830416,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.2535212293603346,0.0,16.334486490430674,0.006363077123512526,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.06813294487014296,0.0,186.49708983986832,0.04138678634045904,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.08381182803362186,0.0,9.07069969750362,0.013088702526032754,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.10758103134393729,0.0,44.95966955630767,0.030742821421535595,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.36227484077076577,0.0,107.40146385833829,0.03866797986059968,,,,,,,,,,,,,,,
Flow Bytes/s,0.12850616548991603,0.0,561981.3986501863,1.4758450458890935e-07,,,,,,,,,,,,,,,
Flow Packets/s,0.23722122562879522,0.0,19223.26392309448,0.011159045457810095,,,,,,,,,,,,,,,
Flow IAT Mean,0.10321341665511298,0.0,639554.3229098527,0.005601030821580008,,,,,,,,,,,,,,,
Flow IAT Std,0.10938343400454056,0.0,1003276.3128137598,0.00588067764525846,,,,,,,,,,,,,,,
Flow IAT Max,0.2673377239796522,0.0,1856098.5954935676,0.006742848110832672,,,,,,,,,,,,,,,
Flow IAT Min,0.24159826449906943,0.0,45250.69383129039,8.424111147593578e-06,,,,,,,,,,,,,,,
Fwd IAT Total,0.22324587027847392,0.0,3916838.167343055,0.006425625876844605,,,,,,,,,,,,,,,
Fwd IAT Mean,0.17696519381143017,0.0,1556985.4465384898,0.00173477964402112,,,,,,,,,,,,,,,
Fwd IAT Std,0.20136835402548703,0.0,1408833.8133840829,0.007665624038481515,,,,,,,,,,,,,,,
Fwd IAT Max,0.14258532378831573,0.0,2574515.903586107,0.007224340006050082,,,,,,,,,,,,,,,
