Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.452640073327119,0.0,7862.0455949978,0.12803444998087832,,,,,,,,,,,,,,,
Flow Duration,0.42699397003263223,0.0,7617948.061943307,0.017583503213091736,,,,,,,,,,,,,,,
Total Fwd Packets,0.23474968492253545,0.0,7.133855586310929,1.0761662712160364e-05,,,,,,,,,,,,,,,
Total Backward Packets,0.42903719965090403,0.0,9.041502526983887,9.149983954923837e-06,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.46442736527344197,0.0,479.64825154935266,8.418507788087372e-07,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.40889699548353603,0.0,14830.950414370387,8.381076996545862e-10,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.5170385830213207,0.0,161.86733682806465,0.04332700141448105,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.4595565717874475,0.0,15.596065739799059,0.14467668807402775,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.45202795313514454,0.0,43.3973646157393,0.0803708410248911,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.19818796863794597,0.0,55.671356137508496,0.04424858041437811,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.283984163379158,0.0,336.0465087578096,0.14917180008370798,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.43397907121811563,0.0,40.632877113423625,0.1997440459655298,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.40178883373952745,0.0,98.2777073455898,0.17707667605050104,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.1619310747713124,0.0,109.40601371567202,0.10999323917849356,,,,,,,,,,,,,,,
Flow Bytes/s,0.476225619510898,0.0,1475621.5465057075,1.0219193281622599e-06,,,,,,,,,,,,,,,
Flow Packets/s,0.2386798431048603,0.0,62836.77058702972,0.06953541695831085,,,,,,,,,,,,,,,
Flow IAT Mean,0.46596456138812314,0.0,613044.8238470778,0.008133877286591925,,,,,,,,,,,,,,,
Flow IAT Std,0.4421343085764722,0.0,998719.6867647639,0.022073118831549304,,,,,,,,,,,,,,,
Flow IAT Max,0.44811901229049644,0.0,2673427.231224069,0.021363199879960784,,,,,,,,,,,,,,,
Flow IAT Min,0.5199648075092401,0.0,158093.12403549624,2.5705179447740696e-05,,,,,,,,,,,,,,,
Fwd IAT Total,0.4013026030844351,0.0,7515554.064999322,0.01340100074508572,,,,,,,,,,,,,,,
Fwd IAT Mean,0.4326476832788991,0.0,1685202.737840331,0.014391862073304739,,,,,,,,,,,,,,,
Fwd IAT Std,0.22062530323111762,0.0,895661.2205547225,0.02531941299745849,,,,,,,,,,,,,,,
Fwd IAT Max,0.371385449715617,0.0,2997535.8288538805,0.020628333657024045,,,,,,,,,,,,,,,
Fwd IAT Min,0.5697162817605864,0.0,912302.3347243612,0.0001271887691084751,,,,,,,,,,,,,,,
Bwd IAT Total,0.46779314227356505,0.0,9609926.567059875,0.007335587084596832,,,,,,,,,,,,,,,
Bwd IAT Mean,0.4710248964240299,0.0,1635256.9191759878,0.004564451489465412,,,,,,,,,,,,,,,
Bwd IAT Std,0.16297638227418743,0.0,1371624.193617414,0.008696644821256958,,,,,,,,,,,,,,,
Bwd IAT Max,0.47203660980891665,0.0,4481903.337271512,0.011720863304075535,,,,,,,,,,,,,,,
Bwd IAT Min,0.6428393607074709,0.0,910801.6270957448,0.00011713789721798465,,,,,,,,,,,,,,,
Fwd PSH Flags,0.043643002734207625,0.0,0.043643002734207625,0.017273942030024757,,,,,,,,,,,,,,,
Bwd PSH Flags,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd URG Flags,0.00011139102280299795,1.0,0.00011139102280299795,5.5696772087017e-05,,,,,,,,,,,,,,,
Bwd URG Flags,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd Header Length,0.3521491041332788,0.0,26416.23381400029,5.18294052409718e-15,,,,,,,,,,,,,,,
Bwd Header Length,0.4313559010366791,0.0,2727.952717516625,4.5538649699361156e-12,,,,,,,,,,,,,,,
Fwd Packets/s,0.27702275488741374,0.0,59747.12735820042,0.05197863460752913,,,,,,,,,,,,,,,
Bwd Packets/s,0.44304912945263514,0.0,5710.431238225325,0.009566991187626267,,,,,,,,,,,,,,,
Min Packet Length,0.5122095169660905,0.0,16.136934222009707,0.19891490570644105,,,,,,,,,,,,,,,
Max Packet Length,0.4384997786324436,0.0,430.70139744458396,0.12237313093116424,,,,,,,,,,,,,,,
Packet Length Mean,0.4206344266863186,0.0,61.92723711601257,0.4389383866323099,,,,,,,,,,,,,,,
Packet Length Std,0.4017195237697834,0.0,117.33403588064061,0.22633519897525134,,,,,,,,,,,,,,,
Packet Length Variance,0.47795271079778606,0.0,258766.22704230197,0.05897547668684018,,,,,,,,,,,,,,,
FIN Flag Count,0.03528266444497563,0.0,0.03528266444497563,0.017869869779159466,,,,,,,,,,,,,,,
SYN Flag Count,0.0436422954896184,0.0,0.0436422954896184,0.017272814026873487,,,,,,,,,,,,,,,
RST Flag Count,0.00024258489410422523,0.9999967953355633,0.00024258489410422523,0.00012130202685094477,,,,,,,,,,,,,,,
PSH Flag Count,0.1832286847089476,0.0,0.1832286847089476,0.03798774413060991,,,,,,,,,,,,,,,
ACK Flag Count,0.22536737820187303,0.0,0.22536737820187303,0.05940531513612943,,,,,,,,,,,,,,,
URG Flag Count,0.09398750157361924,0.0,0.09398750157361924,0.04603022180026442,,,,,,,,,,,,,,,
CWE Flag Count,0.00011139102280299795,1.0,0.00011139102280299795,5.5696772087017e-05,,,,,,,,,,,,,,,
ECE Flag Count,0.0002436457609881204,0.9999963712255303,0.0002436457609881204,0.0001218325530121243,,,,,,,,,,,,,,,
Down/Up Ratio,0.25072527932625055,0.0,0.30456462730331424,0.013805549232233715,,,,,,,,,,,,,,,
Average Packet Size,0.3939606970036876,0.0,57.981388374976646,0.30115595026815256,,,,,,,,,,,,,,,
Avg Fwd Segment Size,0.45203290384726913,0.0,43.395279820442774,0.08034695593545182,,,,,,,,,,,,,,,
Avg Bwd Segment Size,0.4012555713192516,0.0,98.22773821682779,0.1770615272823351,,,,,,,,,,,,,,,
Fwd Header Length.1,0.3521483968886896,0.0,26416.22458375116,5.18294052409718e-15,,,,,,,,,,,,,,,
Fwd Avg Bytes/Bulk,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd Avg Packets/Bulk,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd Avg Bulk Rate,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Bwd Avg Bytes/Bulk,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Bwd Avg Packets/Bulk,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Bwd Avg Bulk Rate,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Subflow Fwd Packets,0.23471007922553888,0.0,7.133590015967675,1.0761662712160364e-05,,,,,,,,,,,,,,,
Subflow Fwd Bytes,0.4645012723330161,0.0,479.6372736988403,8.512942497447474e-07,,,,,,,,,,,,,,,
Subflow Bwd Packets,0.42905169816498323,0.0,9.041532584878931,9.149983954923837e-06,,,,,,,,,,,,,,,
Subflow Bwd Bytes,0.40879904210792833,0.0,14830.352502014988,8.309164731648946e-10,,,,,,,,,,,,,,,
Init_Win_bytes_forward,0.4451620226629456,0.0,4826.27845952227,0.10980457975070046,,,,,,,,,,,,,,,
Init_Win_bytes_backward,0.6051948529567774,0.0,1946.2423900482186,0.048971925930374,,,,,,,,,,,,,,,
act_data_pkt_fwd,0.18477648949246706,0.0,4.493218231632149,4.803011845725666e-06,,,,,,,,,,,,,,,
min_seg_size_forward,0.3938026278379957,0.0,2775.0120097203694,4.675204333353324e-11,,,,,,,,,,,,,,,
Active Mean,0.7456843935165475,0.0,71207.19456843598,0.00035357164906467327,,,,,,,,,,,,,,,
Active Std,0.07241689522454309,0.0,40277.548134342454,0.0006788269069980918,,,,,,,,,,,,,,,
Active Max,0.14616447114371356,0.0,141697.7576177305,0.0012482706438364383,,,,,,,,,,,,,,,
Active Min,0.1268489141673821,0.0,48761.92454513509,0.00016639192536209167,,,,,,,,,,,,,,,
Idle Mean,0.6292531921484534,0.0,3061180.9119885857,0.015495584426767737,,,,,,,,,,,,,,,
Idle Std,0.07958870898158188,0.0,489476.3861365719,0.0008251898472251204,,,,,,,,,,,,,,,
Idle Max,0.12612858555325623,0.0,2779547.154031507,0.01648434195355383,,,,,,,,,,,,,,,
Idle Min,0.1302758678244732,0.0,3258463.034562688,0.011157371748322235,,,,,,,,,,,,,,,
GLOBAL,0.3023283425802843,0.15384606623796274,717123.2144192428,0.043622322650242955,78.0,12.0,66.0,84.61538461538461,0.0,0.5744946443916107,0.6589429846983615,0.384067904894485,0.4474960435394473,-84.52193575910738,2736.290838343157,125.91048607703367,-95.39849769210669,674828.783635074,52364190851628.12
