Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.3861488268933998,0.0,7908.398586076613,0.11247056817565992,,,,,,,,,,,,,,,
Flow Duration,0.3447011113641475,0.0,20448044.529993888,0.03848138648885032,,,,,,,,,,,,,,,
Total Fwd Packets,0.14817446026629166,0.0,4.146421908178262,1.0360469969526036e-05,,,,,,,,,,,,,,,
Total Backward Packets,0.18621750034301354,0.0,7.810966251702281,7.588671847038061e-06,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.13244109713438645,0.0,598.7873223572997,2.6502041959364133e-06,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.12381660299107886,0.0,72100.46286649746,2.6439877620793683e-09,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.1621563321729807,0.0,125.21510914905771,0.053042269929237384,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.2252231003056711,0.0,8.090218595157634,0.04829674451357746,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.2496555718850474,0.0,31.157855719449437,0.041082993948518366,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.2954984589140401,0.0,40.85069864368087,0.03245705867985338,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.17264795203184302,0.0,257.00524669398504,0.12819019950880942,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.2562149118278171,0.0,23.48717907008647,0.1302121792094986,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.15610550108986387,0.0,48.440724565062006,0.08932306215943915,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.33541958699744967,0.0,119.45728985191268,0.10686892743068772,,,,,,,,,,,,,,,
Flow Bytes/s,0.34788866272778585,0.0,1455015.2863797592,9.32488402733187e-07,,,,,,,,,,,,,,,
Flow Packets/s,0.385303315986981,0.0,33163.09419184258,0.05115524990984329,,,,,,,,,,,,,,,
Flow IAT Mean,0.35520546162561584,0.0,1270011.5561835966,0.039491214856164004,,,,,,,,,,,,,,,
Flow IAT Std,0.3111465990729438,0.0,1987775.7047406633,0.048271156930131245,,,,,,,,,,,,,,,
Flow IAT Max,0.3441080867760821,0.0,4130912.9644238288,0.03938647679449116,,,,,,,,,,,,,,,
Flow IAT Min,0.4579988655796789,0.0,163078.21682846115,0.0005756027981081944,,,,,,,,,,,,,,,
Fwd IAT Total,0.24854342976849053,0.0,19802352.291886542,0.037906587509971695,,,,,,,,,,,,,,,
Fwd IAT Mean,0.250244706627872,0.0,2049996.3469623388,0.03144555238908542,,,,,,,,,,,,,,,
Fwd IAT Std,0.4635227994438229,0.0,2283194.4471508553,0.04202993724079733,,,,,,,,,,,,,,,
Fwd IAT Max,0.2979748758432124,0.0,4304964.480302178,0.04226571027200852,,,,,,,,,,,,,,,
Fwd IAT Min,0.23098997268621396,0.0,723218.813596495,0.0006305346699080867,,,,,,,,,,,,,,,
Bwd IAT Total,0.3359917478701329,0.0,16348250.13251713,0.0261989348699138,,,,,,,,,,,,,,,
Bwd IAT Mean,0.3450016903145683,0.0,1955660.0434898443,0.02112464050132005,,,,,,,,,,,,,,,
Bwd IAT Std,0.41546941945120647,0.0,1684496.6199892005,0.033809626159365516,,,,,,,,,,,,,,,
Bwd IAT Max,0.35051360102069534,0.0,4060167.7129870616,0.027367327794748056,,,,,,,,,,,,,,,
Bwd IAT Min,0.4459435279340396,0.0,607201.990116258,0.00010428178055262632,,,,,,,,,,,,,,,
Fwd PSH Flags,0.029252697077240986,0.0,0.029252697077240986,0.005204844440811154,,,,,,,,,,,,,,,
Bwd PSH Flags,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd URG Flags,9.972148708081718e-05,1.0,9.972148708081718e-05,3.369682765927453e-05,,,,,,,,,,,,,,,
Bwd URG Flags,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd Header Length,0.2682239249528622,0.0,29251.50833841283,5.184202898855145e-15,,,,,,,,,,,,,,,
Bwd Header Length,0.200188056336275,0.0,2740.522693357287,4.5538649699361156e-12,,,,,,,,,,,,,,,
Fwd Packets/s,0.3805661917283502,0.0,28831.279943428144,0.0334973191276248,,,,,,,,,,,,,,,
Bwd Packets/s,0.3355048099704514,0.0,6365.293621578907,0.015523995364358504,,,,,,,,,,,,,,,
Min Packet Length,0.2203604401324527,0.0,6.312892785963716,0.0885465031041198,,,,,,,,,,,,,,,
Max Packet Length,0.17833667388527646,0.0,248.39811434447626,0.049461599288326295,,,,,,,,,,,,,,,
Packet Length Mean,0.16285473620484064,0.0,30.97247783584588,0.10559140971998762,,,,,,,,,,,,,,,
Packet Length Std,0.1512382438268156,0.0,83.02573315574615,0.17286353413583747,,,,,,,,,,,,,,,
Packet Length Variance,0.1831427544913568,0.0,239466.1347326636,0.0349284041908205,,,,,,,,,,,,,,,
FIN Flag Count,0.035279835466618725,0.0,0.035279835466618725,0.017849961909084475,,,,,,,,,,,,,,,
SYN Flag Count,0.0292381985631619,0.0,0.0292381985631619,0.005198239017647969,,,,,,,,,,,,,,,
RST Flag Count,0.00024258489410422523,0.9999967953355633,0.00024258489410422523,0.00012130202685094477,,,,,,,,,,,,,,,
PSH Flag Count,0.16500829597903155,0.0,0.16500829597903155,0.02095091743772816,,,,,,,,,,,,,,,
ACK Flag Count,0.10170990524336998,0.0,0.10170990524336998,0.009636738771098522,,,,,,,,,,,,,,,
URG Flag Count,0.09231663623157449,0.0,0.09231663623157449,0.041869821291918456,,,,,,,,,,,,,,,
CWE Flag Count,0.00010078235396460133,1.0,0.00010078235396460133,3.5001712177806514e-05,,,,,,,,,,,,,,,
ECE Flag Count,0.00024293851639889397,0.9999966591619615,0.00024293851639889397,0.00011869545946754135,,,,,,,,,,,,,,,
Down/Up Ratio,0.15666599242682488,0.0,0.2099833938970449,0.013098509053029369,,,,,,,,,,,,,,,
Average Packet Size,0.09398714795132462,0.0,36.91710065184633,0.12245800171518807,,,,,,,,,,,,,,,
Avg Fwd Segment Size,0.25018777343843934,0.0,31.203558139337602,0.04108573665883997,,,,,,,,,,,,,,,
Avg Bwd Segment Size,0.15607615043941103,0.0,48.81400055356696,0.08939345933546296,,,,,,,,,,,,,,,
Fwd Header Length.1,0.2679424416063505,0.0,29254.513176672855,5.334855247649519e-15,,,,,,,,,,,,,,,
Fwd Avg Bytes/Bulk,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd Avg Packets/Bulk,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd Avg Bulk Rate,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
