Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.18758247407072182,0.0,1671.248419516335,0.01231321229265181,,,,,,,,,,,,,,,
Flow Duration,0.05358487097531206,0.0,1524114.7825612726,0.004040023827226616,,,,,,,,,,,,,,,
Total Fwd Packets,0.24761411037824854,0.0,4.574483644641366,1.0761662712160364e-05,,,,,,,,,,,,,,,
Total Backward Packets,0.036073888851411384,0.0,6.154431913715832,9.149983954923837e-06,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.04655576889990912,0.0,219.67320363862908,8.418507788087372e-07,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.06150749000330985,0.0,12193.318725683828,8.381076996545862e-10,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.03595602082658633,0.0,58.67052682546354,0.011416497713622386,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.061244320352373705,0.0,4.594524429591017,0.011798276883996964,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.15833155343445046,0.0,13.059705266505244,0.00884828460997104,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.03457878701744488,0.0,19.144907422251954,0.010993661124796638,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.05506327994134108,0.0,51.56909488125918,0.03588050657262303,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.0707376864138819,0.0,8.551874181827463,0.0254216980209859,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.11440968117590589,0.0,24.417775434549558,0.04793063699464217,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.07884470889555995,0.0,105.36733767312944,0.07530661167831885,,,,,,,,,,,,,,,
Flow Bytes/s,0.5059701552887057,0.0,1036592.5349962179,1.0219193281622599e-06,,,,,,,,,,,,,,,
Flow Packets/s,0.4583685482278385,0.0,26334.532186073964,0.016502154536923684,,,,,,,,,,,,,,,
Flow IAT Mean,0.0554803359413949,0.0,382319.5842026245,0.0014870702912550757,,,,,,,,,,,,,,,
Flow IAT Std,0.14686184409833636,0.0,225289.1256704406,0.0008236696117804571,,,,,,,,,,,,,,,
Flow IAT Max,0.05311634730771322,0.0,1487018.6995050407,0.0021073639199026754,,,,,,,,,,,,,,,
Flow IAT Min,0.06501065017497687,0.0,153973.39679304938,2.5764282929183204e-05,,,,,,,,,,,,,,,
Fwd IAT Total,0.07591518843905182,0.0,4052196.258057433,0.008556745548407366,,,,,,,,,,,,,,,
Fwd IAT Mean,0.15802934855851175,0.0,445178.8290451559,0.001119265212960081,,,,,,,,,,,,,,,
Fwd IAT Std,0.47578837551562125,0.0,918266.2198212249,0.0046735013788216815,,,,,,,,,,,,,,,
Fwd IAT Max,0.06395791499668135,0.0,3118359.458511779,0.003979364712162544,,,,,,,,,,,,,,,
Fwd IAT Min,0.0482924962987078,0.0,200909.56417971695,2.9459888967780295e-05,,,,,,,,,,,,,,,
Bwd IAT Total,0.09175708364515034,0.0,1370498.711702752,0.0038015013206946086,,,,,,,,,,,,,,,
Bwd IAT Mean,0.10036291462417096,0.0,920262.3769705299,0.004983217737498445,,,,,,,,,,,,,,,
Bwd IAT Std,0.36456974892004207,0.0,286285.6177753193,0.0011476185701085894,,,,,,,,,,,,,,,
Bwd IAT Max,0.0615725149952322,0.0,487170.7755049131,0.0007820257088708183,,,,,,,,,,,,,,,
Bwd IAT Min,0.05819513420215405,0.0,733715.6563786039,0.0010297050741089153,,,,,,,,,,,,,,,
Fwd PSH Flags,0.0652340294199586,0.0,0.0652340294199586,0.010842588642823952,,,,,,,,,,,,,,,
Bwd PSH Flags,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd URG Flags,0.03186566596040452,0.0,0.03186566596040452,0.01569507557515644,,,,,,,,,,,,,,,
Bwd URG Flags,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd Header Length,0.7356922661112542,0.0,30409.468905711605,5.18294052409718e-15,,,,,,,,,,,,,,,
