Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.3178249831682402,0.0,1280.1813608011375,0.01061204286514151,,,,,,,,,,,,,,,
Flow Duration,0.20445422687318768,0.0,1656725.7719214698,0.0041943069696165946,,,,,,,,,,,,,,,
Total Fwd Packets,0.018067638496297334,0.0,4.61474581333939,1.0761662712160364e-05,,,,,,,,,,,,,,,
Total Backward Packets,0.05412888421108031,0.0,6.146208478451177,9.149983954923837e-06,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.062216944464406176,0.0,175.5219178490235,8.418507788087372e-07,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.13430028004624056,0.0,13336.67505760501,8.381076996545862e-10,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.10805775744410998,0.0,61.55039604342517,0.01498729031189248,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.06594173844056106,0.0,5.1852262925989425,0.005743330398883109,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.09862897796578962,0.0,11.286745396908053,0.00801997487913213,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.2558803954784657,0.0,20.4188712582954,0.008049725169485036,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.13054082002018663,0.0,63.566721398862605,0.04535935033645823,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.06066002170164142,0.0,6.556983368858198,0.006777637791694211,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.13313701461599947,0.0,21.77762276071308,0.015316600114073348,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.07249301360673222,0.0,54.00304312498117,0.05806223437295899,,,,,,,,,,,,,,,
Flow Bytes/s,0.39771625647621994,0.0,1049470.9519045707,7.710259976400945e-07,,,,,,,,,,,,,,,
Flow Packets/s,0.2995380682057321,0.0,25178.573158098763,0.008745540134010051,,,,,,,,,,,,,,,
Flow IAT Mean,0.2145391821161441,0.0,191334.3659918588,0.0007962151364517284,,,,,,,,,,,,,,,
Flow IAT Std,0.1956890898442356,0.0,440277.4849344666,0.0023985324386406473,,,,,,,,,,,,,,,
Flow IAT Max,0.2577365240846735,0.0,1544400.3448494452,0.0038168073177021733,,,,,,,,,,,,,,,
Flow IAT Min,0.45646481666971017,0.0,147164.1810970541,3.530176609855579e-05,,,,,,,,,,,,,,,
Fwd IAT Total,0.21103819482210762,0.0,1252385.875483184,0.007721017154941319,,,,,,,,,,,,,,,
Fwd IAT Mean,0.23538510736374518,0.0,218202.04334368798,0.0014429214139652692,,,,,,,,,,,,,,,
Fwd IAT Std,0.16972092252461773,0.0,612335.8737693453,0.003966109632244669,,,,,,,,,,,,,,,
Fwd IAT Max,0.28672581446019096,0.0,1491991.1058527485,0.003579017914434907,,,,,,,,,,,,,,,
Fwd IAT Min,0.5640130173437621,0.0,904249.2361459427,8.72665694139626e-05,,,,,,,,,,,,,,,
Bwd IAT Total,0.3006783294039667,0.0,398439.99513216096,0.0012991937074951368,,,,,,,,,,,,,,,
Bwd IAT Mean,0.211727966453092,0.0,776306.9071120627,0.001339371848649216,,,,,,,,,,,,,,,
Bwd IAT Std,0.3868266371568798,0.0,434746.33863408345,0.0025933599855981443,,,,,,,,,,,,,,,
