Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.1753713310460258,0.0,258.333827091277,0.00907271013433086,,,,,,,,,,,,,,,
Flow Duration,0.17063056426051507,0.0,1123616.0011319753,0.003953147958222909,,,,,,,,,,,,,,,
Total Fwd Packets,0.036519816394106175,0.0,1.2357395382334884,1.590248063343344e-06,,,,,,,,,,,,,,,
Total Backward Packets,0.07009565891109383,0.0,1.7095851855108017,5.160908360785459e-07,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.12322219654530364,0.0,77.07143404567537,1.5616733438054026e-07,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.17035909847459013,0.0,3336.9112191372133,2.1595834470872695e-10,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.15584274294306855,0.0,14.500826275513301,0.006081195827507898,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.03772356789859305,0.0,0.5288492436274057,0.0007229857786733027,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.14948190203029196,0.0,2.966397202698885,0.003171306963116117,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.12858747040042884,0.0,5.276671231628088,0.003418274694284607,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.09661621322958289,0.0,65.23493422220751,0.025553944003630116,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.016934854757887474,1.725818029896103e-290,0.9444647460713814,0.0009633380697148537,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.1625051465177199,0.0,19.887578705215144,0.009975659700619142,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.10615224900198228,0.0,26.241660461127573,0.019872996702370974,,,,,,,,,,,,,,,
Flow Bytes/s,0.11115104399392764,0.0,161153.1436942747,1.0504893849977715e-08,,,,,,,,,,,,,,,
Flow Packets/s,0.09956188745997882,0.0,11985.818100670536,0.004701515504633776,,,,,,,,,,,,,,,
Flow IAT Mean,0.07002783060921225,0.0,120472.95505020447,0.002106637611140965,,,,,,,,,,,,,,,
Flow IAT Std,0.1621802582739442,0.0,297663.7561605477,0.0034575625401282897,,,,,,,,,,,,,,,
Flow IAT Max,0.17713418393303676,0.0,927709.3339235244,0.0032278922636812314,,,,,,,,,,,,,,,
Flow IAT Min,0.15129609868066124,0.0,6566.737982797136,1.5576459081753574e-06,,,,,,,,,,,,,,,
Fwd IAT Total,0.08012177864583497,0.0,1090685.8804920649,0.002395224383277058,,,,,,,,,,,,,,,
Fwd IAT Mean,0.10002215183891455,0.0,197587.54476958676,0.002467157422754049,,,,,,,,,,,,,,,
Fwd IAT Std,0.11248639164383056,0.0,389716.292583549,0.002980467165490343,,,,,,,,,,,,,,,
Fwd IAT Max,0.09825535886993941,0.0,925706.6557057243,0.004856198597021924,,,,,,,,,,,,,,,
Fwd IAT Min,0.0889518181602103,0.0,51727.61577311564,2.022504115678538e-05,,,,,,,,,,,,,,,
Bwd IAT Total,0.13713944380897036,0.0,531591.0212008203,0.0008022315754201353,,,,,,,,,,,,,,,
Bwd IAT Mean,0.1796392909936062,0.0,147588.911252941,0.0013915873368375898,,,,,,,,,,,,,,,
Bwd IAT Std,0.10751005797585522,0.0,164342.4614891229,0.002667168404400829,,,,,,,,,,,,,,,
Bwd IAT Max,0.1380694705377668,0.0,339348.58405617165,0.00043774821374150525,,,,,,,,,,,,,,,
Bwd IAT Min,0.15963462281030916,0.0,62926.040671213595,2.5292426446118724e-05,,,,,,,,,,,,,,,
Fwd PSH Flags,0.0002498641227365317,0.9999995960322836,0.0002498641227365317,2.538245941957951e-07,,,,,,,,,,,,,,,
Bwd PSH Flags,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd URG Flags,4.319243052297583e-05,1.0,4.319243052297583e-05,3.784012288680998e-06,,,,,,,,,,,,,,,
Bwd URG Flags,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd Header Length,0.13672237491960704,0.0,37504.275615961495,5.038680799624264e-15,,,,,,,,,,,,,,,
