Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.26462907084030907,0.0,3135.464719228396,0.015685529639275084,,,,,,,,,,,,,,,
Flow Duration,0.19917834316600602,0.0,8861797.638749983,0.007038946909946578,,,,,,,,,,,,,,,
Total Fwd Packets,0.09982972565270165,0.0,5.949432070515271,1.0761662712160364e-05,,,,,,,,,,,,,,,
Total Backward Packets,0.13127175469910024,0.0,7.722722333888412,9.149983954923837e-06,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.1021599453754452,0.0,257.9085061694804,8.418507788087372e-07,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.13476049425044134,0.0,14455.507225302215,8.381076996545862e-10,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.15962549152820035,0.0,75.26555563266717,0.0194956903937584,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.06539148419921853,0.0,4.2085597984623115,0.006278162547699543,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.1156407379289725,0.0,5.778208655883442,0.0052661949815698455,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.3131131592946164,0.0,19.48899977653837,0.009617453286027427,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.18522658094115105,0.0,316.26222700749327,0.04196490215565662,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.29111518687160204,0.0,9.544735625894484,0.016534241651626206,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.164718317130896,0.0,86.36302475024782,0.050572494832291016,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.3485113544991424,0.0,86.42645959034823,0.03282604100348751,,,,,,,,,,,,,,,
Flow Bytes/s,0.23154306135196465,0.0,1174656.610543502,1.0027464446332063e-06,,,,,,,,,,,,,,,
Flow Packets/s,0.5600313691133832,0.0,48695.634729912905,0.00865608503057829,,,,,,,,,,,,,,,
Flow IAT Mean,0.20348713076757585,0.0,709380.5930176404,0.001866814807989557,,,,,,,,,,,,,,,
Flow IAT Std,0.2539659488146563,0.0,1381759.0224519742,0.0074884467090478544,,,,,,,,,,,,,,,
Flow IAT Max,0.19986730058999644,0.0,4484962.659869496,0.0076358614993444415,,,,,,,,,,,,,,,
Flow IAT Min,0.3513621785784653,0.0,150282.1026311369,1.8091394858860422e-05,,,,,,,,,,,,,,,
Fwd IAT Total,0.26422805882760186,0.0,9137604.373449046,0.005592065271484272,,,,,,,,,,,,,,,
Fwd IAT Mean,0.29813589412640884,0.0,1433526.7254709103,0.0022290367381155437,,,,,,,,,,,,,,,
Fwd IAT Std,0.3845840230570664,0.0,1598701.8527480848,0.004101857010839637,,,,,,,,,,,,,,,
Fwd IAT Max,0.2855483531381086,0.0,4793617.891199968,0.006759726758292865,,,,,,,,,,,,,,,
Fwd IAT Min,0.40625660286400306,0.0,971206.8031746228,0.00011921120834040844,,,,,,,,,,,,,,,
Bwd IAT Total,0.32986697322571495,0.0,6918363.4642219255,0.0038716256927146253,,,,,,,,,,,,,,,
Bwd IAT Mean,0.37992438648165455,0.0,1117090.880648698,0.0030826840348672606,,,,,,,,,,,,,,,
Bwd IAT Std,0.27557907273068005,0.0,755805.9936260864,0.006017232189872235,,,,,,,,,,,,,,,
Bwd IAT Max,0.37111307774202557,0.0,2699265.873065555,0.0075955949015005,,,,,,,,,,,,,,,
Bwd IAT Min,0.38569598877683375,0.0,742313.615177509,0.0005887056945588922,,,,,,,,,,,,,,,
Fwd PSH Flags,0.019490344706404872,0.0,0.019490344706404872,0.0019629182002214767,,,,,,,,,,,,,,,
Bwd PSH Flags,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd URG Flags,0.00010886514901486954,1.0,0.00010886514901486954,4.8218818771682423e-05,,,,,,,,,,,,,,,
Bwd URG Flags,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd Header Length,0.4203486918893387,0.0,26667.99747631816,5.18294052409718e-15,,,,,,,,,,,,,,,
Bwd Header Length,0.1928226216093002,0.0,2697.013105816718,4.5538649699361156e-12,,,,,,,,,,,,,,,
Fwd Packets/s,0.1861025919060241,0.0,44456.591227462166,0.012165014628426292,,,,,,,,,,,,,,,
Bwd Packets/s,0.3489883394053678,0.0,5504.674109509613,0.0013157518574591798,,,,,,,,,,,,,,,
Min Packet Length,0.051893098587960984,0.0,2.163963488631076,0.0068786173232205355,,,,,,,,,,,,,,,
Max Packet Length,0.199686456304277,0.0,257.9118405172337,0.02737320470337336,,,,,,,,,,,,,,,
Packet Length Mean,0.11515723583845622,0.0,44.33709347713921,0.021160079391973285,,,,,,,,,,,,,,,
Packet Length Std,0.1686946484971505,0.0,70.50365627918347,0.023347508323521112,,,,,,,,,,,,,,,
Packet Length Variance,0.09267654981528872,0.0,138072.56272869965,0.00830660167719056,,,,,,,,,,,,,,,
FIN Flag Count,0.0028676280764677875,9.619469837495684e-09,0.0028676280764677875,4.193932426713846e-05,,,,,,,,,,,,,,,
SYN Flag Count,0.019490344706404872,0.0,0.019490344706404872,0.0019629182002214767,,,,,,,,,,,,,,,
RST Flag Count,0.00023904867080082326,0.9999999119449443,0.00023904867080082326,0.00010971558613570085,,,,,,,,,,,,,,,
PSH Flag Count,0.06430458383285065,0.0,0.06430458383285065,0.003374461963416412,,,,,,,,,,,,,,,
ACK Flag Count,0.07744361210916573,0.0,0.07744361210916573,0.005419039731947991,,,,,,,,,,,,,,,
URG Flag Count,0.058449821261140955,0.0,0.058449821261140955,0.010388824861035076,,,,,,,,,,,,,,,
CWE Flag Count,0.00010886514901486954,1.0,0.00010886514901486954,4.8218818771682423e-05,,,,,,,,,,,,,,,
ECE Flag Count,0.00024010953768471843,0.9999998967948445,0.00024010953768471843,0.00011023506014763945,,,,,,,,,,,,,,,
Down/Up Ratio,0.05709531889964786,0.0,0.10003451113133383,0.004693050119583166,,,,,,,,,,,,,,,
Average Packet Size,0.0977152007739206,0.0,48.32714051692232,0.023190901025701628,,,,,,,,,,,,,,,
Avg Fwd Segment Size,0.11332703753902812,0.0,6.802486768583531,0.005876926245152503,,,,,,,,,,,,,,,
Avg Bwd Segment Size,0.16781301769613605,0.0,87.55851852412427,0.05124795268868885,,,,,,,,,,,,,,,
Fwd Header Length.1,0.41983038258801053,0.0,26667.946866191658,5.18294052409718e-15,,,,,,,,,,,,,,,
Fwd Avg Bytes/Bulk,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd Avg Packets/Bulk,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Fwd Avg Bulk Rate,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Bwd Avg Bytes/Bulk,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Bwd Avg Packets/Bulk,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Bwd Avg Bulk Rate,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Subflow Fwd Packets,0.0979868481368682,0.0,5.961327925707938,1.0761662712160364e-05,,,,,,,,,,,,,,,
Subflow Fwd Bytes,0.1122991875374767,0.0,249.58049239183237,8.512942497447474e-07,,,,,,,,,,,,,,,
Subflow Bwd Packets,0.12677519418143757,0.0,7.701587337553455,9.149983954923837e-06,,,,,,,,,,,,,,,
Subflow Bwd Bytes,0.18950815469387294,0.0,14428.063459774592,8.309164731648946e-10,,,,,,,,,,,,,,,
Init_Win_bytes_forward,0.24164015197828675,0.0,1267.947258281307,0.013940075433282132,,,,,,,,,,,,,,,
Init_Win_bytes_backward,0.32300393023949864,0.0,265.662682003655,0.01452587929286532,,,,,,,,,,,,,,,
act_data_pkt_fwd,0.1057555839584019,0.0,4.086341900908274,4.803011845725666e-06,,,,,,,,,,,,,,,
min_seg_size_forward,0.4304537530875059,0.0,2785.9455626639306,4.675204333353324e-11,,,,,,,,,,,,,,,
Active Mean,0.34361468680573387,0.0,41350.94019728612,0.00011089066286835404,,,,,,,,,,,,,,,
Active Std,0.4304357761410412,0.0,36505.6257512909,0.0005213222853978451,,,,,,,,,,,,,,,
Active Max,0.32969909165832917,0.0,111147.57821407173,0.0006863096882878352,,,,,,,,,,,,,,,
Active Min,0.3116805696769249,0.0,26411.25394749062,2.4858548190129753e-05,,,,,,,,,,,,,,,
Idle Mean,0.5271629638809057,0.0,4621005.441244122,0.003951946484807589,,,,,,,,,,,,,,,
Idle Std,0.4367144424982747,0.0,468389.39285442146,0.0004533958448706586,,,,,,,,,,,,,,,
Idle Max,0.33987093801393736,0.0,4871513.586545077,0.004294862930367698,,,,,,,,,,,,,,,
Idle Min,0.3157316673953559,0.0,4308646.753173891,0.0036589369032289844,,,,,,,,,,,,,,,
