Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
duration,0.018972695041271415,1.4916424131329383e-19,140.81856798899312,0.014600258663215982,,,,,,,,,,,,,,,
protocol_type,0.03366942626647329,1.1494711197971111e-60,0.049779874729994414,0.0027159463675252393,,,,,,,,,,,,,,,
service,0.05494775192373902,6.339269211889438e-161,1.3207385115935661,0.085062989666322,,,,,,,,,,,,,,,
flag,0.07508599004551667,2.700695823052721e-300,0.27328285960710746,0.013312114915215062,,,,,,,,,,,,,,,
src_bytes,0.20129213373198365,0.0,34786.74010097447,5.89545987473443e-10,,,,,,,,,,,,,,,
dst_bytes,0.07808296066830178,0.0,15288.136021707054,2.6747012098838194e-11,,,,,,,,,,,,,,,
land,0.0007801018037305596,0.9999999999999347,0.0007801018037305596,0.00021066086742980628,,,,,,,,,,,,,,,
wrong_fragment,0.009858577086321207,1.3661319739910448e-05,0.02911014361323827,0.0015165491663481057,,,,,,,,,,,,,,,
urgent,8.079883111022923e-05,1.0,0.00012119824666534385,4.039361705277931e-05,,,,,,,,,,,,,,,
hot,0.005753309975209064,0.034763964915787704,0.06969341282395702,0.004016123450478209,,,,,,,,,,,,,,,
num_failed_logins,0.0009599932121966415,0.9999999962932301,0.0011350561804640558,0.00011395382297457218,,,,,,,,,,,,,,,
logged_in,0.07481211630085272,4.1463410980115255e-298,0.07481211630085272,0.0043872163066366624,,,,,,,,,,,,,,,
num_compromised,0.007626990239052112,0.0016176514241785693,0.30955119266076914,0.0004308011170085897,,,,,,,,,,,,,,,
root_shell,0.0015727176814492871,0.9981010423545951,0.0015727176814492871,0.0002044542334886322,,,,,,,,,,,,,,,
su_attempted,0.0006156195515035767,1.0,0.00111485064366168,0.00011727564626412773,,,,,,,,,,,,,,,
num_root,0.0019814685801959886,0.9695973258239537,0.19622080843783485,0.0003333622569522809,,,,,,,,,,,,,,,
num_file_creations,0.0010022787705998848,0.9999999786635316,0.008091536885738493,0.0008898590785873191,,,,,,,,,,,,,,,
num_shells,0.0003655181886020875,1.0,0.0004097650842717071,0.000128174534502511,,,,,,,,,,,,,,,
num_access_files,0.0005934660841918626,1.0,0.0013225953340592067,0.00016985602078408842,,,,,,,,,,,,,,,
num_outbound_cmds,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
is_host_login,3.847480114504975e-06,1.0,3.847480114504975e-06,2.3235838815850673e-07,,,,,,,,,,,,,,,
is_guest_login,0.002618201182875257,0.7948936262857738,0.002618201182875257,0.00014067591824240257,,,,,,,,,,,,,,,
count,0.0840341324168874,0.0,10.624238418683479,0.06583374023990192,,,,,,,,,,,,,,,
srv_count,0.13219540882368286,0.0,14.965441788793388,0.031429756989853605,,,,,,,,,,,,,,,
serror_rate,0.27991721072795095,0.0,0.07337941185381962,0.026623252424710555,,,,,,,,,,,,,,,
srv_serror_rate,0.21530533720355327,0.0,0.08649748312102745,0.0480341883276406,,,,,,,,,,,,,,,
rerror_rate,0.5419236166774837,0.0,0.06825508702019142,0.01869375293506824,,,,,,,,,,,,,,,
srv_rerror_rate,0.5180733252076268,0.0,0.0677162815646411,0.017126104360983715,,,,,,,,,,,,,,,
same_srv_rate,0.30948093970129187,0.0,0.045905969919277236,0.09098988884733386,,,,,,,,,,,,,,,
diff_srv_rate,0.23562539847257147,0.0,0.024795551140768632,0.02749654126076863,,,,,,,,,,,,,,,
srv_diff_host_rate,0.36723773164283097,0.0,0.024943514354151382,0.06454011042004414,,,,,,,,,,,,,,,
dst_host_count,0.0899621594401333,0.0,12.148890967788372,0.09381538908187777,,,,,,,,,,,,,,,
dst_host_srv_count,0.09234456316850259,0.0,16.00100470921482,0.09617327501792601,,,,,,,,,,,,,,,
dst_host_same_srv_rate,0.24273525649041472,0.0,0.056936058267115223,0.07549263870003138,,,,,,,,,,,,,,,
dst_host_diff_srv_rate,0.188858933251192,0.0,0.01780930978657253,0.08231556816738955,,,,,,,,,,,,,,,
dst_host_same_src_port_rate,0.21081411773973613,0.0,0.06904400334819084,0.06983033394507697,,,,,,,,,,,,,,,
dst_host_srv_diff_host_rate,0.29677164558894253,0.0,0.0069138205317675235,0.0503758192657914,,,,,,,,,,,,,,,
dst_host_serror_rate,0.3093372743857877,0.0,0.09620666339322104,0.045149115781979075,,,,,,,,,,,,,,,
dst_host_srv_serror_rate,0.40539898048287343,0.0,0.10019667579272097,0.03548216941345341,,,,,,,,,,,,,,,
dst_host_rerror_rate,0.3627953982011144,0.0,0.05169384610328611,0.05171234069848406,,,,,,,,,,,,,,,
dst_host_srv_rerror_rate,0.4628865210963089,0.0,0.06177315727687797,0.031723923724174104,,,,,,,,,,,,,,,
GLOBAL,0.1443018027649799,0.28778017675806644,1226.1616266385063,0.02807875142015119,41.0,12.0,29.0,70.73170731707317,0.0009645222348291438,0.991224526438639,0.9907918456518978,0.9642696830954305,0.9626006371306977,118.25272298765618,37.54659109467933,32.78037638836496,-12.694134320465075,268.6096536192487,737137437.9312369
