Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
duration,0.0830679316172559,0.0,282.85098002248924,0.011525839045431419,,,,,,,,,,,,,,,
protocol_type,0.11913787647205365,0.0,0.16652639091821134,0.07562018717547273,,,,,,,,,,,,,,,
service,0.4793525320333699,0.0,6.53663890329053,0.5957581256370214,,,,,,,,,,,,,,,
flag,0.347300309055529,0.0,1.819926338398971,0.15275239997245157,,,,,,,,,,,,,,,
src_bytes,0.4536248375606833,0.0,40499.52049260555,5.89545987473443e-10,,,,,,,,,,,,,,,
dst_bytes,0.46612845667499336,0.0,17227.07497454586,2.6747002088053993e-11,,,,,,,,,,,,,,,
land,0.00025586296518242957,1.0,0.00025586296518242957,3.929406790469437e-05,,,,,,,,,,,,,,,
wrong_fragment,0.008369412255835984,6.033050231508228e-05,0.021822417635691593,0.004197384338210003,,,,,,,,,,,,,,,
urgent,8.079883111022923e-05,1.0,0.00012119824666534385,4.039361705277931e-05,,,,,,,,,,,,,,,
hot,0.02206481412902228,7.749594792513223e-32,0.19699428348269732,0.011119810949115487,,,,,,,,,,,,,,,
num_failed_logins,0.0020603701933111784,0.91018769380338,0.0023700990459004645,0.001030930572243734,,,,,,,,,,,,,,,
logged_in,0.3964798642579638,0.0,0.3964798642579638,0.23054680173254524,,,,,,,,,,,,,,,
num_compromised,0.010591380111367732,1.1545232117427165e-07,0.2762310038579474,0.00022166870520527507,,,,,,,,,,,,,,,
root_shell,0.0014476457240585328,0.9976553272719818,0.0014476457240585328,0.0007241998951343064,,,,,,,,,,,,,,,
su_attempted,0.0006261909411043876,1.0,0.001097517455914132,0.00031316223762327573,,,,,,,,,,,,,,,
num_root,0.005049926944390215,0.04515470476372363,0.29852474800844964,0.0002181795209305406,,,,,,,,,,,,,,,
num_file_creations,0.00232969963034535,0.8141477651227323,0.0121467576102402,0.0011649734295007372,,,,,,,,,,,,,,,
num_shells,0.00040399415555125717,1.0,0.00045786004295811367,0.0002020227463082479,,,,,,,,,,,,,,,
num_access_files,0.0029693570433014793,0.5283313147754812,0.0041005406788447996,0.0014862086696093577,,,,,,,,,,,,,,,
num_outbound_cmds,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
is_host_login,1.3466471851741879e-05,1.0,1.3466471851741879e-05,6.732444475921385e-06,,,,,,,,,,,,,,,
is_guest_login,0.010207585663594032,3.779266229137741e-07,0.010207585663594032,0.005122678120176632,,,,,,,,,,,,,,,
count,0.7673599655258321,0.0,80.74895803174049,0.40033084247863704,,,,,,,,,,,,,,,
srv_count,0.7734064113872486,0.0,26.76455220614475,0.31442427676723694,,,,,,,,,,,,,,,
serror_rate,0.45936155456951056,0.0,0.24941119159381414,0.11588060698001136,,,,,,,,,,,,,,,
srv_serror_rate,0.2687099793289657,0.0,0.25135768728518554,0.11232057820027835,,,,,,,,,,,,,,,
rerror_rate,0.8247406020859565,0.0,0.12564744482006135,0.07078953166062346,,,,,,,,,,,,,,,
srv_rerror_rate,0.7864756223193304,0.0,0.1266490965206756,0.07069629204864405,,,,,,,,,,,,,,,
same_srv_rate,0.7084576176464648,0.0,0.3278728208066891,0.21580219512435272,,,,,,,,,,,,,,,
diff_srv_rate,0.3641939979934956,0.0,0.06276131497438177,0.1852614877055813,,,,,,,,,,,,,,,
srv_diff_host_rate,0.22420328985907334,0.0,0.0968297447223777,0.12213547874269984,,,,,,,,,,,,,,,
dst_host_count,0.4068961802352593,0.0,71.86227165913667,0.2378954161398141,,,,,,,,,,,,,,,
dst_host_srv_count,0.7215402950503983,0.0,112.68503942309634,0.6957570379808734,,,,,,,,,,,,,,,
dst_host_same_srv_rate,0.4330009359197937,0.0,0.3074762294946146,0.3319580175609361,,,,,,,,,,,,,,,
dst_host_diff_srv_rate,0.3991866251001569,0.0,0.06904507370037155,0.29822979043452214,,,,,,,,,,,,,,,
dst_host_same_src_port_rate,0.7051987314583515,0.0,0.5579769074311416,0.3899370624693647,,,,,,,,,,,,,,,
dst_host_srv_diff_host_rate,0.30783008005817514,0.0,0.03189104579730273,0.17422513297709658,,,,,,,,,,,,,,,
dst_host_serror_rate,0.6529084212581725,0.0,0.2443756406680129,0.12238145258367424,,,,,,,,,,,,,,,
dst_host_srv_serror_rate,0.6553121864837023,0.0,0.24847420071868037,0.11275368380848934,,,,,,,,,,,,,,,
dst_host_rerror_rate,0.1914999629672025,0.0,0.12431585754731343,0.10290697725341157,,,,,,,,,,,,,,,
dst_host_srv_rerror_rate,0.39487062087168473,0.0,0.1252974970309314,0.08604299982567376,,,,,,,,,,,,,,,
GLOBAL,0.3038223266548939,0.22672042999069653,1422.2976100666071,0.12809316717645433,41.0,10.0,31.0,75.60975609756098,0.0,0.2360624831672502,0.23480631795115536,0.220329473022713,0.21866113784946334,-99.80514608972507,37.54659109467933,1.1068909990520854,-97.05195340833768,9.001371736662989,25.650546239362622
