Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
duration,0.0779310935623283,0.0,282.7991018059532,0.01143415512461635,,,,,,,,,,,,,,,
protocol_type,0.11904168100286028,0.0,0.1528616298510133,0.06818080464242283,,,,,,,,,,,,,,,
service,0.12913326931099323,0.0,5.299298095665255,0.2568520554593,,,,,,,,,,,,,,,
flag,0.10775197452143526,0.0,0.482777870575629,0.07094511235987375,,,,,,,,,,,,,,,
src_bytes,0.18030900255953553,0.0,40410.528384815756,5.89545987473443e-10,,,,,,,,,,,,,,,
dst_bytes,0.22772831565782586,0.0,16413.78997446888,2.6747012098838194e-11,,,,,,,,,,,,,,,
land,0.00018179736999801577,1.0,0.00018179736999801577,9.09036329870668e-05,,,,,,,,,,,,,,,
wrong_fragment,0.008369412255835984,0.000378395512641329,0.021822417635691593,0.004197384338210003,,,,,,,,,,,,,,,
urgent,8.079883111022923e-05,1.0,0.00012119824666534385,4.039361705277931e-05,,,,,,,,,,,,,,,
hot,0.01875568998876931,4.0671833831520714e-19,0.10433880755561409,0.010166231772010693,,,,,,,,,,,,,,,
num_failed_logins,0.007847763133609131,0.0010652517145529736,0.008157491986198417,0.002239249944632078,,,,,,,,,,,,,,,
logged_in,0.13614392213516147,0.0,0.13614392213516147,0.013477543487534297,,,,,,,,,,,,,,,
num_compromised,0.010591380111367732,2.1848953046004434e-06,0.2762310038579474,0.00022166870520527507,,,,,,,,,,,,,,,
root_shell,0.0014476457240585328,0.9995222059954201,0.0014476457240585328,0.0007241998951343064,,,,,,,,,,,,,,,
su_attempted,0.0006261909411043876,1.0,0.001097517455914132,0.00031316223762327573,,,,,,,,,,,,,,,
num_root,0.005049926944390215,0.08810034752785556,0.29852474800844964,0.0002181795209305406,,,,,,,,,,,,,,,
num_file_creations,0.00232969963034535,0.8934530186296483,0.0121467576102402,0.0011649734295007372,,,,,,,,,,,,,,,
num_shells,0.00040399415555125717,1.0,0.00045786004295811367,0.0002020227463082479,,,,,,,,,,,,,,,
num_access_files,0.0029693570433014793,0.6525156154717471,0.0041005406788447996,0.0014862086696093577,,,,,,,,,,,,,,,
num_outbound_cmds,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
is_host_login,1.3466471851741879e-05,1.0,1.3466471851741879e-05,6.732444475921385e-06,,,,,,,,,,,,,,,
is_guest_login,0.0068984615233410596,0.005905983126380924,0.0068984615233410596,0.0013403073849594274,,,,,,,,,,,,,,,
count,0.18994708114735923,0.0,26.58857766421864,0.3942219807823959,,,,,,,,,,,,,,,
srv_count,0.22896054530916465,0.0,19.175773994157044,0.19292252310734923,,,,,,,,,,,,,,,
serror_rate,0.6888778231710379,0.0,0.08805252333462271,0.026286792935858953,,,,,,,,,,,,,,,
srv_serror_rate,0.7119656335638345,0.0,0.08982992188401509,0.020147016246089725,,,,,,,,,,,,,,,
rerror_rate,0.8654295467858898,0.0,0.0636477621158674,0.019392289647647075,,,,,,,,,,,,,,,
srv_rerror_rate,0.8655978776840362,0.0,0.06465296690723807,0.014422750895143874,,,,,,,,,,,,,,,
same_srv_rate,0.10213266000317728,0.0,0.022556308403845947,0.24542117960472146,,,,,,,,,,,,,,,
diff_srv_rate,0.6088326588875348,0.0,0.041543141615985615,0.0702806573532421,,,,,,,,,,,,,,,
srv_diff_host_rate,0.7535832550762926,0.0,0.03918600677593853,0.0984498261685244,,,,,,,,,,,,,,,
dst_host_count,0.419819834611459,0.0,77.24584717003304,0.3532581452009213,,,,,,,,,,,,,,,
dst_host_srv_count,0.29652915762690774,0.0,24.444530760715462,0.2685412063587921,,,,,,,,,,,,,,,
dst_host_same_srv_rate,0.2811668258519989,0.0,0.08247119653406196,0.3206356667799411,,,,,,,,,,,,,,,
dst_host_diff_srv_rate,0.37382252536746635,0.0,0.03985976375671151,0.18166224506819875,,,,,,,,,,,,,,,
dst_host_same_src_port_rate,0.493592642232493,0.0,0.09665598120032726,0.29765623060707835,,,,,,,,,,,,,,,
dst_host_srv_diff_host_rate,0.6921699199418249,0.0,0.015560876870803052,0.19793471244165434,,,,,,,,,,,,,,,
dst_host_serror_rate,0.6307065069683355,0.0,0.10190888049326542,0.0807618740257283,,,,,,,,,,,,,,,
dst_host_srv_serror_rate,0.6851000222196786,0.0,0.09677715000682385,0.0458567324643916,,,,,,,,,,,,,,,
dst_host_rerror_rate,0.8084048066467199,0.0,0.10710369099061924,0.10184979612431247,,,,,,,,,,,,,,,
dst_host_srv_rerror_rate,0.8382003407017379,0.0,0.06178114994021819,0.03178641554511095,,,,,,,,,,,,,,,
GLOBAL,0.2824010855285786,0.21075470738715976,1396.643668273974,0.08304364222892151,41.0,10.0,31.0,75.60975609756098,0.00685219375474083,0.6814345991561181,0.7779922037539528,0.6349537660472214,0.7176617840001879,-93.44275089423982,37.54659109467933,10.906577871792534,-70.95188257093707,47.53787205640485,221905.16858368707
