Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
duration,0.13833240119985823,0.0,407.70128938175253,0.041689321696109935,,,,,,,,,,,,,,,
protocol_type,0.02120851408428276,2.513003854671557e-24,0.02216374945224603,0.0011905452810794769,,,,,,,,,,,,,,,
service,0.10816705250262237,0.0,3.446545976353007,0.10498184796611995,,,,,,,,,,,,,,,
flag,0.0964278891183345,0.0,0.46668050009073336,0.011258443147241746,,,,,,,,,,,,,,,
src_bytes,0.12430781752913178,0.0,39845.31318354174,5.89545987473443e-10,,,,,,,,,,,,,,,
dst_bytes,0.10795879375701645,0.0,26697.77408702809,2.6747012098838194e-11,,,,,,,,,,,,,,,
land,0.015824204880846016,9.880903999618295e-14,0.015824204880846016,0.007420326755085763,,,,,,,,,,,,,,,
wrong_fragment,0.034867955603265055,4.949753075393521e-65,0.07203008474500894,0.010082503139777174,,,,,,,,,,,,,,,
urgent,0.021850502329902044,8.53802179797075e-26,0.03619049556158971,0.010709766204461449,,,,,,,,,,,,,,,
hot,0.0654487726968066,3.4194341381198174e-228,0.5350975516555784,0.024382700537129546,,,,,,,,,,,,,,,
num_failed_logins,0.04633277723697515,1.6011156838968407e-114,0.09873512310471366,0.02012421397960209,,,,,,,,,,,,,,,
logged_in,0.06751048544403238,8.787710893749091e-243,0.06751048544403238,0.0033541693744225313,,,,,,,,,,,,,,,
num_compromised,0.061829938730363354,1.109609322082363e-203,0.9391589124931197,0.00022166870520527507,,,,,,,,,,,,,,,
root_shell,0.09966719541829294,0.0,0.09966719541829294,0.04768439006645475,,,,,,,,,,,,,,,
su_attempted,0.06467714396333091,7.545997350071245e-223,0.11513837869745103,0.03119295561503185,,,,,,,,,,,,,,,
num_root,0.005049926944390215,0.08809136338311929,0.29852474800844964,0.0002181795209305406,,,,,,,,,,,,,,,
num_file_creations,0.9976703003696547,0.0,1.0074873583495494,0.9931225166869398,,,,,,,,,,,,,,,
num_shells,0.02653880170058709,7.523319922660142e-38,0.035103552409788574,0.012311463336162173,,,,,,,,,,,,,,,
num_access_files,0.0767143705083766,1.85002330815e-313,0.24269393032470454,0.034087428990977435,,,,,,,,,,,,,,,
num_outbound_cmds,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
is_host_login,0.005786785545731754,0.03315886985630134,0.005786785545731754,0.002844270285896686,,,,,,,,,,,,,,,
is_guest_login,0.02649848680588973,9.773096152938565e-38,0.02649848680588973,0.005859510357144988,,,,,,,,,,,,,,,
count,0.1573599693839987,0.0,19.081112525772145,0.042948552503928095,,,,,,,,,,,,,,,
srv_count,0.17123268183259654,0.0,6.452183938025933,0.028683254563609963,,,,,,,,,,,,,,,
serror_rate,0.07796320607674545,0.0,0.07261864841608819,0.012420750564275154,,,,,,,,,,,,,,,
srv_serror_rate,0.07168400428112665,1.0430908946251274e-273,0.06481361236666551,0.012157705235426435,,,,,,,,,,,,,,,
rerror_rate,0.04135192475301541,2.658022090541507e-91,0.03556888571185139,0.013354389196767166,,,,,,,,,,,,,,,
srv_rerror_rate,0.0372454988965667,3.814820948925716e-74,0.03422417082180307,0.005714277776877927,,,,,,,,,,,,,,,
same_srv_rate,0.10921651437815005,0.0,0.09135485078997796,0.029819613227970998,,,,,,,,,,,,,,,
diff_srv_rate,0.10045743065757107,0.0,0.01313662820209503,0.04194876593415328,,,,,,,,,,,,,,,
srv_diff_host_rate,0.054476607404032706,3.501740668148753e-158,0.009016768756618098,0.06286524174357451,,,,,,,,,,,,,,,
dst_host_count,0.09984374193810469,0.0,21.740005577250955,0.015176001794169702,,,,,,,,,,,,,,,
dst_host_srv_count,0.09142189961317104,0.0,20.48799925819469,0.015111491125338876,,,,,,,,,,,,,,,
dst_host_same_srv_rate,0.07408305298373116,2.501851652068551e-292,0.023852855446019817,0.023121518534060817,,,,,,,,,,,,,,,
dst_host_diff_srv_rate,0.04535319552262068,9.5468594924182e-110,0.008477685087843564,0.02698460837635787,,,,,,,,,,,,,,,
dst_host_same_src_port_rate,0.09463396474355512,0.0,0.059340873490513354,0.02358903366442422,,,,,,,,,,,,,,,
dst_host_srv_diff_host_rate,0.031295869637441576,1.8017311064625827e-52,0.015669604552762617,0.04832423076085792,,,,,,,,,,,,,,,
dst_host_serror_rate,0.08154458875400894,0.0,0.06525063837507611,0.04522168867315658,,,,,,,,,,,,,,,
dst_host_srv_serror_rate,0.0735676002340625,2.823948895357338e-288,0.061043935429055174,0.02509650476630706,,,,,,,,,,,,,,,
dst_host_rerror_rate,0.060266712320244165,1.5875440093991186e-193,0.04690273710951016,0.037435833967572586,,,,,,,,,,,,,,,
dst_host_srv_rerror_rate,0.04673181814643279,1.6974739343632027e-116,0.03586556409971668,0.02990341758776254,,,,,,,,,,,,,,,
GLOBAL,0.09103415604699674,0.027347566664378525,1634.7979960055807,0.04640519761606483,41.0,2.0,39.0,95.1219512195122,16.36077617392711,0.9593769638208097,0.9584549873643693,0.9570652661818835,0.9548799888980066,-14.228595086321757,37.54659109467933,85.43280909447599,127.53812424420745,367.02554833297,69146609.89064638
