Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
duration,0.5359238056688418,0.0,875.6561569729744,0.029516931336952015,,,,,,,,,,,,,,,
protocol_type,0.009973531735132601,1.0336111253755417e-05,0.01759472837703513,0.0004115787683420313,,,,,,,,,,,,,,,
service,0.17188908881839726,0.0,3.630836529074032,0.12145187659446097,,,,,,,,,,,,,,,
flag,0.09966948933379993,0.0,0.48715933349941554,0.015566045135949185,,,,,,,,,,,,,,,
src_bytes,0.23904989107270191,0.0,40988.64805475421,5.89545987473443e-10,,,,,,,,,,,,,,,
dst_bytes,0.3591919541551288,0.0,20425.983087850833,2.6747012098838194e-11,,,,,,,,,,,,,,,
land,0.01617048858338832,2.5475803951692942e-14,0.01617048858338832,0.00759270001108532,,,,,,,,,,,,,,,
wrong_fragment,0.03437738702466342,3.1627695969339947e-63,0.0709623766621702,0.009893032395293376,,,,,,,,,,,,,,,
urgent,0.020859746180961647,1.512831389550219e-23,0.03524783437133561,0.01020986587677447,,,,,,,,,,,,,,,
hot,0.04534601662537563,1.0339038670812461e-109,0.24355668847540402,0.02314771951437272,,,,,,,,,,,,,,,
num_failed_logins,0.04801610079100027,5.747362097995508e-123,0.10293862249390784,0.0209894155171813,,,,,,,,,,,,,,,
logged_in,0.0724642661887347,1.0713672454243408e-279,0.0724642661887347,0.0038596635767601723,,,,,,,,,,,,,,,
num_compromised,0.06690876636765042,1.7741492341444138e-238,0.48542896518245127,0.00022166870520527507,,,,,,,,,,,,,,,
root_shell,0.09666606999625971,0.0,0.09666606999625971,0.04610015353150498,,,,,,,,,,,,,,,
su_attempted,0.06645665743472884,2.872303531157613e-235,0.11901483236757737,0.0321158311500771,,,,,,,,,,,,,,,
num_root,0.005049926944390215,0.08809136338311929,0.29852474800844964,0.0002181795209305406,,,,,,,,,,,,,,,
num_file_creations,0.00232969963034535,0.8934418642346804,0.0121467576102402,0.0011649734295007372,,,,,,,,,,,,,,,
num_shells,0.027981650461180063,4.967457711201468e-42,0.03709468369940683,0.01303305957433312,,,,,,,,,,,,,,,
num_access_files,0.06818232483740383,1.2340856314255593e-247,0.2292561988677161,0.03003080266806756,,,,,,,,,,,,,,,
num_outbound_cmds,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
is_host_login,0.0059695463887402545,0.025492828806416457,0.0059695463887402545,0.0029357388843637895,,,,,,,,,,,,,,,
is_guest_login,0.03112522183152433,6.6342729614256686e-52,0.03112522183152433,0.007446238897159147,,,,,,,,,,,,,,,
count,0.15738110581604015,0.0,21.3222165806813,0.040262695428726014,,,,,,,,,,,,,,,
srv_count,0.11154735682116468,0.0,1.6506549773171133,0.0174633071316486,,,,,,,,,,,,,,,
serror_rate,0.08454555562657129,0.0,0.07715958203542622,0.018069263588765077,,,,,,,,,,,,,,,
srv_serror_rate,0.08460427618478794,0.0,0.07552522537538996,0.01460396463287962,,,,,,,,,,,,,,,
rerror_rate,0.024500330764345435,2.541220719622408e-32,0.01759070158511159,0.010880443565608963,,,,,,,,,,,,,,,
srv_rerror_rate,0.02905492480920646,2.7733946866505646e-45,0.02130201732193291,0.006787330377902509,,,,,,,,,,,,,,,
same_srv_rate,0.11777543528548207,0.0,0.10361358242972749,0.03683133231830168,,,,,,,,,,,,,,,
diff_srv_rate,0.11754550215362491,0.0,0.011612523682215646,0.043459820996234196,,,,,,,,,,,,,,,
srv_diff_host_rate,0.05118860128692837,1.0536680436404337e-139,0.011233270313439805,0.045317424442617237,,,,,,,,,,,,,,,
dst_host_count,0.06526002602836845,7.030060957301371e-227,12.114690063552851,0.02256439953037127,,,,,,,,,,,,,,,
dst_host_srv_count,0.11429902926214008,0.0,16.92008537934087,0.01728160899048981,,,,,,,,,,,,,,,
dst_host_same_srv_rate,0.08226881495216165,0.0,0.0378352872340703,0.024091125076894662,,,,,,,,,,,,,,,
dst_host_diff_srv_rate,0.07210130227874134,6.663909986316847e-277,0.01215211546707033,0.025883911839181296,,,,,,,,,,,,,,,
dst_host_same_src_port_rate,0.07128365974268591,1.1631129239574116e-270,0.03544460469740825,0.030457649843906538,,,,,,,,,,,,,,,
dst_host_srv_diff_host_rate,0.027180686837236734,1.1067565058591246e-39,0.01894948995961957,0.02593677631540861,,,,,,,,,,,,,,,
dst_host_serror_rate,0.07906299672274542,0.0,0.0663717236729248,0.02542788556768339,,,,,,,,,,,,,,,
dst_host_srv_serror_rate,0.08923013808729452,0.0,0.0797464296336126,0.033429519104452014,,,,,,,,,,,,,,,
dst_host_rerror_rate,0.03173419726641247,6.129061639426118e-54,0.018746042064158957,0.024342693336286497,,,,,,,,,,,,,,,
dst_host_srv_rerror_rate,0.0434788241307531,6.79924349599548e-101,0.024606900529568498,0.01785889537024633,,,,,,,,,,,,,,,
GLOBAL,0.0848205949787083,0.048952107135012086,1520.7048535113802,0.02089891519907832,41.0,3.0,38.0,92.6829268292683,15.800712758589535,0.9567959421851153,0.956668428010818,0.9492099829428136,0.950819959135939,-19.62481138991511,37.54659109467933,397.0134568031761,957.3888207375402,218.20551986310062,3078940.108921003
