Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
duration,0.014567522085170648,1.0569952130846053e-11,14.025779464826403,0.0023487642957678656,,,,,,,,,,,,,,,
protocol_type,0.0011513238225023814,0.9999976822063578,0.0020472527505030758,5.190199182074817e-06,,,,,,,,,,,,,,,
service,0.027661926709529494,4.380693193881779e-41,0.22179484884902395,0.037893309344446464,,,,,,,,,,,,,,,
flag,0.0021186812301615676,0.9459942572000996,0.012426044122441839,1.9766673094171068e-05,,,,,,,,,,,,,,,
src_bytes,0.08473930113702932,0.0,17502.595334139973,3.0291833425848294e-10,,,,,,,,,,,,,,,
dst_bytes,0.0345911266726292,5.206790496333665e-64,12531.602812169513,3.298309560444465e-11,,,,,,,,,,,,,,,
land,9.634730103735833e-07,1.0,9.634730103735833e-07,9.185572691250328e-10,,,,,,,,,,,,,,,
wrong_fragment,0.0005491719734224132,1.0,0.0011512043922637938,9.85985558119877e-06,,,,,,,,,,,,,,,
urgent,2.4047770794455303e-05,1.0,4.23246128685717e-05,4.603812605148599e-06,,,,,,,,,,,,,,,
hot,0.00041932520285981045,1.0,0.0028810060630649614,0.00033192324117707687,,,,,,,,,,,,,,,
num_failed_logins,0.00010390294757822716,1.0,0.00014238066323479792,1.6669185876857238e-06,,,,,,,,,,,,,,,
logged_in,0.0003314471508262251,1.0,0.0003314471508262251,8.272346246341026e-08,,,,,,,,,,,,,,,
num_compromised,0.0006454126033098584,1.0,0.06917365443283363,6.820682058037682e-05,,,,,,,,,,,,,,,
root_shell,8.174889736389801e-05,1.0,8.174889736389801e-05,8.580196862301345e-07,,,,,,,,,,,,,,,
su_attempted,0.0001058048287928548,1.0,0.00018371324087196328,5.671107857364301e-06,,,,,,,,,,,,,,,
num_root,0.0017795391191064436,0.9900761064364221,0.07616932975903234,6.67782784320473e-05,,,,,,,,,,,,,,,
num_file_creations,0.00035780632420168157,1.0,0.0027297646994373093,0.00012156071329933273,,,,,,,,,,,,,,,
num_shells,3.847946436386085e-05,1.0,6.348837655889561e-05,4.676054776501693e-06,,,,,,,,,,,,,,,
num_access_files,0.00017984943948856635,1.0,0.0004049255689259068,1.7456161219470767e-05,,,,,,,,,,,,,,,
num_outbound_cmds,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
is_host_login,1.5390503360079855e-05,1.0,1.5390503360079855e-05,2.0656025289665146e-06,,,,,,,,,,,,,,,
is_guest_login,0.00015206843746307097,1.0,0.00015206843746307097,4.0974140616707003e-07,,,,,,,,,,,,,,,
count,0.029366559493793853,2.9887438419048816e-46,1.7046729131484195,0.024280139670490624,,,,,,,,,,,,,,,
srv_count,0.027299079509563395,5.026857834730971e-40,0.987038784573713,0.007727669129996982,,,,,,,,,,,,,,,
serror_rate,0.6795574604369764,0.0,0.0007037222988497369,0.002725385321040434,,,,,,,,,,,,,,,
srv_serror_rate,0.6274724101435134,0.0,0.0005633191727641211,0.004597395964397313,,,,,,,,,,,,,,,
rerror_rate,0.7727697993806129,0.0,0.0013397139877650347,0.0030916758421423688,,,,,,,,,,,,,,,
srv_rerror_rate,0.8610480945922998,0.0,0.0012816804783330438,0.003013310035457103,,,,,,,,,,,,,,,
same_srv_rate,0.045757043240118866,1.0555950828158842e-111,0.0031199462019129284,0.02206103014393276,,,,,,,,,,,,,,,
diff_srv_rate,0.5608146521350026,0.0,0.0016075954998843866,0.025290193160099096,,,,,,,,,,,,,,,
srv_diff_host_rate,0.6763151741453078,0.0,0.0014539357879186521,0.02382395548098709,,,,,,,,,,,,,,,
dst_host_count,0.010411810983198752,3.464427857663577e-06,0.7268372855291018,0.018238843298086626,,,,,,,,,,,,,,,
dst_host_srv_count,0.03249794677771298,1.5141805087503522e-56,1.031880300474333,0.029039991150567556,,,,,,,,,,,,,,,
dst_host_same_srv_rate,0.09227929894719555,0.0,0.0034990537392482228,0.03170970641026662,,,,,,,,,,,,,,,
dst_host_diff_srv_rate,0.28644360442595945,0.0,0.002565909763186213,0.03685996307301852,,,,,,,,,,,,,,,
dst_host_same_src_port_rate,0.37956008978694616,0.0,0.0033462826867522873,0.051602632514270545,,,,,,,,,,,,,,,
dst_host_srv_diff_host_rate,0.6198351020774334,0.0,0.0011605327610694348,0.027784816848474014,,,,,,,,,,,,,,,
dst_host_serror_rate,0.6144035973338162,0.0,0.0007868655865769034,0.011547583078132287,,,,,,,,,,,,,,,
dst_host_srv_serror_rate,0.6516451689573975,0.0,0.0005861154556540155,0.011098448259102094,,,,,,,,,,,,,,,
dst_host_rerror_rate,0.7636187838938261,0.0,0.001178922291549089,0.0093869255671007,,,,,,,,,,,,,,,
dst_host_srv_rerror_rate,0.8121232541019553,0.0,0.0010369862246127814,0.005239051853155225,,,,,,,,,,,,,,,
GLOBAL,0.2125081407355023,0.437465158787349,733.0021555413649,0.009512721161435788,41.0,18.0,23.0,56.09756097560975,0.0009645222348291438,0.9947706257294192,0.9945830353290626,0.9523745399048389,0.9455305493733838,-8.425983197473702,37.54659109467933,35.39616158879615,-5.727362839573246,1674.218261665437,1223927709069.1953
