Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
duration,0.10784019739266126,0.0,217.30164162270535,0.004673653330711702,,,,,,,,,,,,,,,
protocol_type,0.062074308866679195,2.7166216084169607e-205,0.06999210176289875,0.005517062862371793,,,,,,,,,,,,,,,
service,0.0676873796975489,4.6869617120685104e-244,1.7864389571712773,0.054551893501888306,,,,,,,,,,,,,,,
flag,0.07668971807342345,2.94165017805e-313,0.3659464166038384,0.013680536567463856,,,,,,,,,,,,,,,
src_bytes,0.29755604999008,0.0,40247.25822753747,5.89545987473443e-10,,,,,,,,,,,,,,,
dst_bytes,0.34085020459608123,0.0,16394.639581613195,2.6747012098838194e-11,,,,,,,,,,,,,,,
land,0.00010677238212053464,1.0,0.00010677238212053464,8.820408795683917e-06,,,,,,,,,,,,,,,
wrong_fragment,0.0026250952998819743,0.7922591887674775,0.006293895212395539,0.0001365043350361965,,,,,,,,,,,,,,,
urgent,8.079883111022923e-05,1.0,0.00012119824666534385,4.039361705277931e-05,,,,,,,,,,,,,,,
hot,0.017899790706777385,1.8864961931171306e-17,0.18866423663820753,0.007109312973484381,,,,,,,,,,,,,,,
num_failed_logins,0.0012331369039045859,0.9999849508198113,0.001542865756493872,0.00023715013876209965,,,,,,,,,,,,,,,
logged_in,0.050870445866747604,5.617660843752937e-138,0.050870445866747604,0.0019990828547018164,,,,,,,,,,,,,,,
num_compromised,0.00903310344992736,9.206824424855198e-05,0.2741725396261683,0.00022166870520527507,,,,,,,,,,,,,,,
root_shell,0.0014476457240585328,0.9995220644535847,0.0014476457240585328,0.0007241998951343064,,,,,,,,,,,,,,,
su_attempted,0.0006261909411043876,1.0,0.001097517455914132,0.00031316223762327573,,,,,,,,,,,,,,,
num_root,0.005049926944390215,0.08809136338311929,0.29852474800844964,0.0002181795209305406,,,,,,,,,,,,,,,
num_file_creations,0.00232969963034535,0.8934418642346804,0.0121467576102402,0.0011649734295007372,,,,,,,,,,,,,,,
num_shells,0.00040399415555125717,1.0,0.00045786004295811367,0.0002020227463082479,,,,,,,,,,,,,,,
num_access_files,0.001776602067877997,0.9902661417512306,0.0029077857034213173,0.0004006636818125155,,,,,,,,,,,,,,,
num_outbound_cmds,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
is_host_login,1.3466471851741879e-05,1.0,1.3466471851741879e-05,6.732444475921385e-06,,,,,,,,,,,,,,,
is_guest_login,0.003618576323553002,0.3989416234889187,0.003618576323553002,0.0002857675747193869,,,,,,,,,,,,,,,
count,0.15379793744945358,0.0,27.70267802161976,0.04193504213668408,,,,,,,,,,,,,,,
srv_count,0.08333485405570457,0.0,4.805898887560543,0.013921083781911293,,,,,,,,,,,,,,,
serror_rate,0.11980587958999145,0.0,0.11077468770005042,0.022716638608223937,,,,,,,,,,,,,,,
srv_serror_rate,0.11563419637753147,0.0,0.10786369845664157,0.021130533091968537,,,,,,,,,,,,,,,
rerror_rate,0.03791527300173192,8.046843100921214e-77,0.03158273845490348,0.01119464706073311,,,,,,,,,,,,,,,
srv_rerror_rate,0.02597618197295881,2.7955128441418412e-36,0.021296553295894874,0.007112413825780153,,,,,,,,,,,,,,,
same_srv_rate,0.12701812008671218,0.0,0.07786190632041726,0.041546349717127104,,,,,,,,,,,,,,,
diff_srv_rate,0.0785994213211022,0.0,0.05635727670212933,0.038159845952709395,,,,,,,,,,,,,,,
srv_diff_host_rate,0.018469149693656983,1.4977047390336171e-18,0.009237370120633037,0.028212811616360075,,,,,,,,,,,,,,,
dst_host_count,0.061268127164621544,5.309243820785122e-200,5.590701893790794,0.02319554018155479,,,,,,,,,,,,,,,
dst_host_srv_count,0.09275248777061929,0.0,4.240795941732665,0.019291323851085004,,,,,,,,,,,,,,,
dst_host_same_srv_rate,0.03308487302006391,1.3627496084889672e-58,0.016256258670983046,0.01755229205477069,,,,,,,,,,,,,,,
dst_host_diff_srv_rate,0.0903468933971493,0.0,0.016685360555593717,0.04046938058218052,,,,,,,,,,,,,,,
dst_host_same_src_port_rate,0.0643168735808689,2.243444063245938e-220,0.020874732444051813,0.03657285826959665,,,,,,,,,,,,,,,
dst_host_srv_diff_host_rate,0.027357342100742033,3.404668823137635e-40,0.004670406079729404,0.016984134187820087,,,,,,,,,,,,,,,
dst_host_serror_rate,0.1442943759446247,0.0,0.10028434236985524,0.04081666827559029,,,,,,,,,,,,,,,
dst_host_srv_serror_rate,0.14381659074095088,0.0,0.10112608161849164,0.034486179607805145,,,,,,,,,,,,,,,
dst_host_rerror_rate,0.031055217123523993,1.1301326653287432e-51,0.023354416036447844,0.022554979874533556,,,,,,,,,,,,,,,
dst_host_srv_rerror_rate,0.029368182488561767,2.9540836831092466e-46,0.02483913936840183,0.012898674818371814,,,,,,,,,,,,,,,
GLOBAL,0.061659148321859654,0.27225851866202616,1387.9348037627533,0.014201053144806781,41.0,13.0,28.0,68.29268292682927,24.207679140553832,0.967187359727085,0.9655320254664445,0.9473920459646288,0.946772379933465,-79.93493224832379,37.54659109467933,159.63734209910402,325.17133365464434,71.8158827735823,456323.9671722782
